topology,attack,repeat,status,recorded_at,files
linear,blackhole,1,done,2026-07-26 17:06:38,child_node2_linear_blackhole_r1_20260726_030520_telem.csv;child_node3_linear_blackhole_r1_20260726_030240_telem.csv;child_node4_linear_blackhole_r1_20260726_024658_telem.csv;child_node5_linear_blackhole_r1_20260726_024040_telem.csv;child_node6_linear_blackhole_r1_20260726_024410_telem.csv;root_node1_linear_blackhole_r1_20260726_030857_telem.csv;root_node1_linear_blackhole_r1_20260726_030914_arrivals.csv
linear,blackhole,2,done,2026-07-26 17:06:32,child_node2_linear_blackhole_r2_20260726_153236_telem.csv;child_node3_linear_blackhole_r2_20260726_152955_telem.csv;child_node4_linear_blackhole_r2_20260726_152646_telem.csv;child_node5_linear_blackhole_r2_20260726_152105_telem.csv;child_node6_linear_blackhole_r2_20260726_152357_telem.csv;root_node1_linear_blackhole_r2_20260726_153456_telem.csv;root_node1_linear_blackhole_r2_20260726_153628_arrivals.csv
linear,blackhole,3,done,2026-07-26 17:22:05,child_node2_linear_blackhole_r3_20260726_164256_telem.csv;child_node3_linear_blackhole_r3_20260726_164016_telem.csv;child_node4_linear_blackhole_r3_20260726_163700_telem.csv;child_node5_linear_blackhole_r3_20260726_161108_telem.csv;child_node6_linear_blackhole_r3_20260726_163355_telem.csv;root_node1_linear_blackhole_r3_20260726_164637_telem.csv;root_node1_linear_blackhole_r3_20260726_164655_arrivals.csv
linear,wormhole,1,done,2026-07-26 19:06:56,child_node2_linear_wormhole_r1_20260726_183207_telem.csv;child_node3_linear_wormhole_r1_20260726_182914_telem.csv;child_node4_linear_wormhole_r1_20260726_182628_telem.csv;child_node5_linear_wormhole_r1_20260726_181939_telem.csv;child_node6_linear_wormhole_r1_20260726_182304_telem.csv;root_node1_linear_wormhole_r1_20260726_183629_telem.csv;root_node1_linear_wormhole_r1_20260726_183658_arrivals.csv
linear,wormhole,2,done,2026-07-26 20:07:44,child_node2_linear_wormhole_r2_20260726_200117_telem.csv;child_node3_linear_wormhole_r2_20260726_195832_telem.csv;child_node4_linear_wormhole_r2_20260726_195542_telem.csv;child_node5_linear_wormhole_r2_20260726_194908_telem.csv;child_node6_linear_wormhole_r2_20260726_195237_telem.csv;root_node1_linear_wormhole_r2_20260726_200527_telem.csv;root_node1_linear_wormhole_r2_20260726_200556_arrivals.csv
linear,wormhole,3,done,2026-07-26 21:30:32,child_node2_linear_wormhole_r3_20260726_210029_telem.csv;child_node3_linear_wormhole_r3_20260726_205750_telem.csv;child_node4_linear_wormhole_r3_20260726_205139_telem.csv;child_node5_linear_wormhole_r3_20260726_204003_telem.csv;child_node6_linear_wormhole_r3_20260726_204351_telem.csv;root_node1_linear_wormhole_r3_20260726_210434_telem.csv;root_node1_linear_wormhole_r3_20260726_210503_arrivals.csv
partial,blackhole,1,done,2026-07-27 07:10:49,child_node2_partial_blackhole_r1_20260727_070451_telem.csv;child_node3_partial_blackhole_r1_20260727_065959_telem.csv;child_node4_partial_blackhole_r1_20260727_065651_telem.csv;child_node5_partial_blackhole_r1_20260727_065052_telem.csv;child_node6_partial_blackhole_r1_20260727_065349_telem.csv;root_node1_partial_blackhole_r1_20260727_070828_telem.csv;root_node1_partial_blackhole_r1_20260727_070846_arrivals.csv
star,blackhole,1,done,2026-07-27 04:37:27,child_node2_star_blackhole_r1_20260727_043125_telem.csv;child_node3_star_blackhole_r1_20260727_042821_telem.csv;child_node4_star_blackhole_r1_20260727_042523_telem.csv;child_node5_star_blackhole_r1_20260727_041912_telem.csv;child_node6_star_blackhole_r1_20260727_042227_telem.csv;root_node1_star_blackhole_r1_20260727_043502_telem.csv;root_node1_star_blackhole_r1_20260727_043519_arrivals.csv
star,blackhole,2,done,2026-07-27 05:41:17,child_node2_star_blackhole_r2_20260727_051815_telem.csv;child_node3_star_blackhole_r2_20260727_051536_telem.csv;child_node4_star_blackhole_r2_20260727_051147_telem.csv;child_node5_star_blackhole_r2_20260727_050519_telem.csv;child_node6_star_blackhole_r2_20260727_050808_telem.csv;root_node1_star_blackhole_r2_20260727_052250_telem.csv;root_node1_star_blackhole_r2_20260727_052307_arrivals.csv
star,blackhole,3,done,2026-07-27 06:12:55,child_node2_star_blackhole_r3_20260727_060657_telem.csv;child_node3_star_blackhole_r3_20260727_060419_telem.csv;child_node4_star_blackhole_r3_20260727_060131_telem.csv;child_node5_star_blackhole_r3_20260727_055509_telem.csv;child_node6_star_blackhole_r3_20260727_055753_telem.csv;root_node1_star_blackhole_r3_20260727_061045_telem.csv;root_node1_star_blackhole_r3_20260727_061102_arrivals.csv
star,wormhole,1,done,2026-07-27 01:48:45,child_node2_star_wormhole_r1_20260727_014200_telem.csv;child_node3_star_wormhole_r1_20260727_013843_telem.csv;child_node4_star_wormhole_r1_20260727_013536_telem.csv;child_node5_star_wormhole_r1_20260727_012854_telem.csv;child_node6_star_wormhole_r1_20260727_013217_telem.csv;root_node1_star_wormhole_r1_20260727_014623_telem.csv;root_node1_star_wormhole_r1_20260727_014652_arrivals.csv
star,wormhole,2,done,2026-07-27 05:26:26,child_node2_star_wormhole_r2_20260727_023748_telem.csv;child_node3_star_wormhole_r2_20260727_023516_telem.csv;child_node4_star_wormhole_r2_20260727_023057_telem.csv;child_node5_star_wormhole_r2_20260727_022510_telem.csv;child_node6_star_wormhole_r2_20260727_022802_telem.csv;root_node1_star_wormhole_r2_20260727_024201_telem.csv;root_node1_star_wormhole_r2_20260727_024229_arrivals.csv
star,wormhole,3,done,2026-07-27 03:36:28,child_node2_star_wormhole_r3_20260727_032835_telem.csv;child_node3_star_wormhole_r3_20260727_032559_telem.csv;child_node4_star_wormhole_r3_20260727_032202_telem.csv;child_node5_star_wormhole_r3_20260727_031404_telem.csv;child_node6_star_wormhole_r3_20260727_031835_telem.csv;root_node1_star_wormhole_r3_20260727_033335_telem.csv;root_node1_star_wormhole_r3_20260727_033403_arrivals.csv
tree,blackhole,1,done,2026-07-27 08:48:26,child_node2_tree_blackhole_r1_20260727_081531_telem.csv;child_node3_tree_blackhole_r1_20260727_081241_telem.csv;child_node4_tree_blackhole_r1_20260727_080957_telem.csv;child_node5_tree_blackhole_r1_20260727_080415_telem.csv;child_node6_tree_blackhole_r1_20260727_080705_telem.csv;root_node1_tree_blackhole_r1_20260727_081811_telem.csv;root_node1_tree_blackhole_r1_20260727_082525_arrivals.csv
